date,series_key,region,value
2024-07-01,fodder_price,ALL,18.054849074355797
2024-07-02,fodder_price,ALL,18.188833308113843
2024-07-03,fodder_price,ALL,17.833870307993873
2024-07-04,fodder_price,ALL,17.860204174404107
2024-07-05,fodder_price,ALL,17.85997588256525
2024-07-06,fodder_price,ALL,18.021068000389256
2024-07-07,fodder_price,ALL,18.03253216594249
2024-07-08,fodder_price,ALL,18.116033204229012
2024-07-09,fodder_price,ALL,18.180087681279282
2024-07-10,fodder_price,ALL,18.334606981889007
2024-07-11,fodder_price,ALL,18.29463961681308
2024-07-12,fodder_price,ALL,18.508804265438144
2024-07-13,fodder_price,ALL,18.42152917214002
2024-07-14,fodder_price,ALL,18.50891424209682
2024-07-15,fodder_price,ALL,18.573027827342166
2024-07-16,fodder_price,ALL,18.947063838952005
2024-07-17,fodder_price,ALL,18.83591887094009
2024-07-18,fodder_price,ALL,18.93007678958488
2024-07-19,fodder_price,ALL,18.890964711415304
2024-07-20,fodder_price,ALL,18.724738798362573
2024-07-21,fodder_price,ALL,18.844029773211943
2024-07-22,fodder_price,ALL,18.616334047082447
2024-07-23,fodder_price,ALL,18.484215618828834
2024-07-24,fodder_price,ALL,18.495534752097587
2024-07-25,fodder_price,ALL,18.642481237086308
2024-07-26,fodder_price,ALL,20.54693336649601
2024-07-27,fodder_price,ALL,20.23370665159207
2024-07-28,fodder_price,ALL,20.104365440787525
2024-07-29,fodder_price,ALL,20.01275252675097
2024-07-30,fodder_price,ALL,19.816647875391165
2024-07-31,fodder_price,ALL,19.477398358992495
2024-08-01,fodder_price,ALL,19.477145943531546
2024-08-02,fodder_price,ALL,19.57562380902363
2024-08-03,fodder_price,ALL,19.481340819838437
2024-08-04,fodder_price,ALL,19.606149662067956
2024-08-05,fodder_price,ALL,19.34440313062577
2024-08-06,fodder_price,ALL,19.15201365653297
2024-08-07,fodder_price,ALL,19.154610015895013
2024-08-08,fodder_price,ALL,19.054612339236535
2024-08-09,fodder_price,ALL,19.146126363365926
2024-08-10,fodder_price,ALL,19.205423378858942
2024-08-11,fodder_price,ALL,19.11596521890005
2024-08-12,fodder_price,ALL,18.87839477831602
2024-08-13,fodder_price,ALL,18.776334461513212
2024-08-14,fodder_price,ALL,18.847342170886012
2024-08-15,fodder_price,ALL,18.950164647083394
2024-08-16,fodder_price,ALL,18.854967657973777
2024-08-17,fodder_price,ALL,18.534148106701856
2024-08-18,fodder_price,ALL,18.285379214344026
2024-08-19,fodder_price,ALL,18.351630990867363
2024-08-20,fodder_price,ALL,18.276529111322926
2024-08-21,fodder_price,ALL,18.20687101430541
2024-08-22,fodder_price,ALL,18.03468241161752
2024-08-23,fodder_price,ALL,17.862984793501266
2024-08-24,fodder_price,ALL,18.016980562373572
2024-08-25,fodder_price,ALL,18.094837206964353
2024-08-26,fodder_price,ALL,17.98599347079964
2024-08-27,fodder_price,ALL,17.999256912772143
2024-08-28,fodder_price,ALL,18.041153492560547
2024-08-29,fodder_price,ALL,18.3286506231471
2024-08-30,fodder_price,ALL,18.137848062012225
2024-08-31,fodder_price,ALL,18.174690503886897
2024-09-01,fodder_price,ALL,18.32151671807378
2024-09-02,fodder_price,ALL,18.578480904131826
2024-09-03,fodder_price,ALL,18.451756010154234
2024-09-04,fodder_price,ALL,18.372555125383112
2024-09-05,fodder_price,ALL,18.47943119330204
2024-09-06,fodder_price,ALL,18.205097436425522
2024-09-07,fodder_price,ALL,18.257427980238045
2024-09-08,fodder_price,ALL,18.61169098113781
2024-09-09,fodder_price,ALL,18.67405085950473
2024-09-10,fodder_price,ALL,18.276801511783002
2024-09-11,fodder_price,ALL,18.124936084391482
2024-09-12,fodder_price,ALL,18.012259938872887
2024-09-13,fodder_price,ALL,18.203891181637207
2024-09-14,fodder_price,ALL,18.1712590873375
2024-09-15,fodder_price,ALL,17.866390975543965
2024-09-16,fodder_price,ALL,17.859382296885787
2024-09-17,fodder_price,ALL,17.885644064813192
2024-09-18,fodder_price,ALL,17.798057975779884
2024-09-19,fodder_price,ALL,17.628375799062457
2024-09-20,fodder_price,ALL,18.018932834919536
2024-09-21,fodder_price,ALL,18.169482234893685
2024-09-22,fodder_price,ALL,18.33377573251318
2024-09-23,fodder_price,ALL,18.298905396284457
2024-09-24,fodder_price,ALL,18.17506550318148
2024-09-25,fodder_price,ALL,18.089667166656508
2024-09-26,fodder_price,ALL,17.857845059945845
2024-09-27,fodder_price,ALL,18.144924584900807
2024-09-28,fodder_price,ALL,18.12067119450301
2024-09-29,fodder_price,ALL,18.35333808412018
